checked_at,source,brand,name,mrp,price,discount_pct,price_per_100g,in_stock,url
2026-09-04 13:30 IST,Naturaltein,naturaltein,Natural Plant Protein (Mango / 2 Boxes (1 kg)),6000.0,1600.0,73.3,160.0,True,https://naturaltein.in/products/plant-protein
2026-09-04 13:30 IST,Naturaltein,naturaltein,Natural Plant Protein (Berry / 2 Boxes (1 kg)),6000.0,1600.0,73.3,160.0,True,https://naturaltein.in/products/plant-protein
2026-09-04 13:30 IST,GNC India,GNC India,PP Protein Wafer Bar Mini 20gm (Chocolate / 20 gm),60.0,40.0,33.3,200.0,True,https://gnc.in/products/pp-protein-wafer-bar-mini-20gm
2026-09-04 13:30 IST,GNC India,GNC India,PP Protein Wafer Bar Mini 20gm (Coffee / 20 gm),60.0,40.0,33.3,200.0,True,https://gnc.in/products/pp-protein-wafer-bar-mini-20gm
2026-09-04 13:30 IST,GNC India,GNC India,PP Protein Wafer Bar Mini 20gm (Peanut Butter / 20 gm),60.0,40.0,33.3,200.0,True,https://gnc.in/products/pp-protein-wafer-bar-mini-20gm
2026-09-04 13:30 IST,GNC India,GNC,GNC Protein Wafer Bar (Chocolate) (Pack of 1 / Chocolate),59.0,55.0,6.8,,True,https://gnc.in/products/gnc-protein-wafer-bar-chocolate
2026-09-04 13:30 IST,GNC India,GNC,GNC Protein Wafer Bar (Peanut butter) (Pack of 1 / Peanut Butter),59.0,55.0,6.8,,True,https://gnc.in/products/gnc-protein-wafer-bar-peanut-butter
2026-09-04 13:30 IST,GNC India,GNC,GNC Protein Wafer Bar (Coffee) (Pack of 1 / Coffee),59.0,55.0,6.8,,True,https://gnc.in/products/gnc-protein-wafer-bar-coffee
2026-09-04 13:30 IST,GNC India,GNC,GNC Protein Wafer Bar (40g / Chocolate),60.0,55.0,8.3,137.5,True,https://gnc.in/products/gnc-protein-wafer-bar-upsell
2026-09-04 13:30 IST,GNC India,GNC India,GNC Select Fermented Yeast Protein Isolate (35 gm / Chocolate),149.0,59.0,60.4,168.57,True,https://gnc.in/products/gnc-select-fermented-yeast-protein
2026-09-04 13:30 IST,GNC India,GNC India,GNC Select Fermented Yeast Protein Isolate (35 gm / Coffee),149.0,59.0,60.4,168.57,True,https://gnc.in/products/gnc-select-fermented-yeast-protein
2026-09-04 13:30 IST,GNC India,GNC India,GNC Select Fermented Yeast Protein Isolate (35 gm / Vanilla),149.0,59.0,60.4,168.57,True,https://gnc.in/products/gnc-select-fermented-yeast-protein
2026-09-04 13:30 IST,GNC India,GNC India,GNC Select Fermented Yeast Protein Isolate (35gm) (35 gm / Chocolate),149.0,65.0,56.4,185.71,True,https://gnc.in/products/gnc-select-fermented-yeast-protein-isolate-35gm
2026-09-04 13:30 IST,GNC India,GNC India,GNC Select Fermented Yeast Protein Isolate (35gm) (35 gm / Coffee),149.0,65.0,56.4,185.71,True,https://gnc.in/products/gnc-select-fermented-yeast-protein-isolate-35gm
2026-09-04 13:30 IST,GNC India,GNC India,GNC Select Fermented Yeast Protein Isolate (35gm) (35 gm / Vanilla),149.0,65.0,56.4,185.71,True,https://gnc.in/products/gnc-select-fermented-yeast-protein-isolate-35gm
2026-09-04 13:30 IST,GNC India,GNC Pro Performance,100% Whey Protein Sachets 35gm - Clearance Sale| Expiry - 2025-11-30 (Mawa Kulfi),199.0,70.0,64.8,200.0,False,https://gnc.in/products/100-whey-protein-sachets-35gm
2026-09-04 13:30 IST,GNC India,GNC,GNC Protein Wafer Bar (Pack of 1 / Chocolate),120.0,79.0,34.2,,True,https://gnc.in/products/gnc-protein-wafer-bar
2026-09-05 13:12 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,600,499,16.8,346.53,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Pure Pea Protein Isolate,669,599,10.5,119.8,True,https://nutrabay.com/product/nutrabay-pure-100-pea-protein-isolate/?pId=4537768
2026-09-05 13:12 IST,Nutrabay,TruNativ,TruNativ Plant Based Everyday Protein - Protein You Can Cook With!,699,599,14.3,363.03,True,https://nutrabay.com/product/trunativ-plant-based-everyday-protein-protein-you-can-cook-with/?pId=9485223
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay BioAbsorb™ Whey Protein Powder | Clinically Tested 54% Better Protein Absorption | 26g Protein/Scoop | India's 1st Protein with ProDiFi™ for No Bloating | No Added Sugar,859,699,18.6,386.19,True,https://nutrabay.com/product/nutrabay-bioabsorb-whey-protein/?pId=8042444
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Wellness Vegan Plant Protein Powder + Superfoods,1199,699,41.7,139.8,True,https://nutrabay.com/product/nutrabay-wellness-vegan-plant-protein-powder-superfoods/?pId=4698878
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Wellness Vegan Plant Protein Powder + Superfoods,1199,799,33.4,159.8,True,https://nutrabay.com/product/nutrabay-wellness-vegan-plant-protein-powder-superfoods/?pId=4698878
2026-09-05 13:12 IST,Nutrabay,Nutrabay,Nutrabay Gold Pea Protein,1049,799,23.8,159.8,True,https://nutrabay.com/product/nutrabay-gold-hydrolyzed-pea-protein/?pId=3302532
